___를 세어 보세요,Count the ____s.
걱정,"anxiety, worry"
그런데,however
처럼 되다,to become like
졸업,graduation
엽서,postcard
사용되다,to be used (as a tool)
하얀,white (adj)
하얗게,white (adv)
다양하다,to be various
다양한,various (adj)
빨다,to wash (clothes)
맛,flavor
이유,"reason, cause"
별로,not really
다치다,to be hurt
데려오다,to bring
약을 바르다,to apply medicine (topical)
다친,hurt (adj)
잃어버리다,to lose; to no longer have in one's possession
자동차,automobiles
손님,"customer, guest"
부끄럽다,to be embarrassed
신분증,ID card
내다,"to produce, pay, present, submit"
노인,elderly person
졸업식,graduation ceremony
정류장,bus stop
교통,traffic
농구 선수,basketball player
신청하다,to apply/register
모으다,to collect
종류,kind
직원,staff
발음,pronunciation
특별한,special
경험,experience
계속,continuously/continually
긴장하다,to get nervous
실수하다,to make mistakes
값,price
길을 모르다,don't know how to get somewhere
음악회,concert
일시,when (both date and hour)
눈물이 난다,to cry (irregular)
오래되다,to be old
바뀌 드리다,to replace
마을,village
직접,to do something oneself
관광지,tourist sites
밀가루,flour
프라이팬,frying pan
기름,oil
씻다,"to wash (e.g., hands); to bathe"
